$$maps__BaseObject__c$maps__MarkerLayer__r.Name$maps__Field__c$maps__Operator__c$maps__Value__c$maps__Type__c$maps__Value__c$maps__CrossObject__c,Id,maps__BaseObject__c,maps__CrossField__c,maps__CrossFilterLogic__c,maps__CrossObject__c,maps__Field__c,maps__GrandparentField__c,maps__Index__c,maps__MarkerLayer__c,maps__MarkerLayer__r.$$Name$maps__BaseObject__r.Name$maps__Folder__r.Name,maps__MarkerLayerRelatedList__c,maps__MarkerLayerRelatedList__r.$$Name$maps__SavedQuery__r.Name,maps__Operator__c,maps__Parent__c,maps__Parent__r.$$maps__BaseObject__c$maps__MarkerLayer__r.Name$maps__Field__c$maps__Operator__c$maps__Value__c$maps__Type__c$maps__Value__c$maps__CrossObject__c,maps__ParentField__c,maps__Type__c,maps__Value__c,maps__Value2__c,Name
ServiceResource;Mechanic Location;JobTitle__c;equals;Repair Mechanic~~Service Mechanic;Filter;Repair Mechanic~~Service Mechanic,a2CDG0000023H7k2AE,ServiceResource,,,,JobTitle__c,,0,a2EDG000001mjRU2AY,Mechanic Location;ServiceResource;Otis Layers,,,equals,,,,Filter,Repair Mechanic~~Service Mechanic,,SQC000031
ServiceAppointment;S1 Dispatched Service Appointments;Status;equals;Dispatched;Filter;Dispatched,a2CDG0000023zge2AA,ServiceAppointment,,,,Status,,0,a2EDG000001mjRA2AY,S1 Dispatched Service Appointments;ServiceAppointment;Otis Layers,,,equals,,,,Filter,Dispatched,,SQC000150
ServiceAppointment;S1 Dispatched Service Appointments;WorkOrder__c;equals;S1 - Emergency;Filter;S1 - Emergency,a2CDG0000023zgf2AA,ServiceAppointment,,,,WorkOrder__c,,1,a2EDG000001mjRA2AY,S1 Dispatched Service Appointments;ServiceAppointment;Otis Layers,,,equals,,,Priority,Filter,S1 - Emergency,,SQC000151
AssignedResource;S1 Dispatched Service Appointments;Related List Filter,a2CDG0000023zgg2AA,AssignedResource,,,,,,0,a2EDG000001mjRA2AY,S1 Dispatched Service Appointments;ServiceAppointment;Otis Layers,a2DDG000002nmiB2AQ,AssignedResource;S1 Dispatched Service Appointments,,,,,Related List Filter,,,SQC000152
ServiceAppointment;S2 Dispatched Service Appointments;Status;equals;Dispatched;Filter;Dispatched,a2CDG0000023zgj2AA,ServiceAppointment,,,,Status,,0,a2EDG000001mjRF2AY,S2 Dispatched Service Appointments;ServiceAppointment;Otis Layers,,,equals,,,,Filter,Dispatched,,SQC000153
ServiceAppointment;S2 Dispatched Service Appointments;WorkOrder__c;equals;S2 - High;Filter;S2 - High,a2CDG0000023zgk2AA,ServiceAppointment,,,,WorkOrder__c,,1,a2EDG000001mjRF2AY,S2 Dispatched Service Appointments;ServiceAppointment;Otis Layers,,,equals,,,Priority,Filter,S2 - High,,SQC000154
AssignedResource;S2 Dispatched Service Appointments;Related List Filter,a2CDG0000023zgl2AA,AssignedResource,,,,,,0,a2EDG000001mjRF2AY,S2 Dispatched Service Appointments;ServiceAppointment;Otis Layers,a2DDG000002nmiG2AQ,AssignedResource;S2 Dispatched Service Appointments,,,,,Related List Filter,,,SQC000155
ServiceAppointment;S3 Dispatched Service Appointments;Status;equals;Dispatched;Filter;Dispatched,a2CDG0000023zgt2AA,ServiceAppointment,,,,Status,,0,a2EDG000001mjRK2AY,S3 Dispatched Service Appointments;ServiceAppointment;Otis Layers,,,equals,,,,Filter,Dispatched,,SQC000159
ServiceAppointment;S3 Dispatched Service Appointments;WorkOrder__c;equals;S3 - Normal;Filter;S3 - Normal,a2CDG0000023zgu2AA,ServiceAppointment,,,,WorkOrder__c,,1,a2EDG000001mjRK2AY,S3 Dispatched Service Appointments;ServiceAppointment;Otis Layers,,,equals,,,Priority,Filter,S3 - Normal,,SQC000160
AssignedResource;S3 Dispatched Service Appointments;Related List Filter,a2CDG0000023zgv2AA,AssignedResource,,,,,,0,a2EDG000001mjRK2AY,S3 Dispatched Service Appointments;ServiceAppointment;Otis Layers,a2DDG000002nmiQ2AQ,AssignedResource;S3 Dispatched Service Appointments,,,,,Related List Filter,,,SQC000161
Location;Buildings with Shutdown Units;Id;with;Cross Filter;Asset~~LocationId,a2CDG0000023kJe2AI,Location,,,Asset~~LocationId,Id,,0,a2EDG000001mjRZ2AY,Buildings with Shutdown Units;Location;Otis Layers,,,with,,,,Cross Filter,,,SQC000125
Asset;Buildings with Shutdown Units;OperationalStatus__c;equals;Shutdown;Subfilter;Shutdown,a2CDG0000023kJf2AI,Asset,,,,OperationalStatus__c,,0,a2EDG000001mjRZ2AY,Buildings with Shutdown Units;Location;Otis Layers,,,equals,a2CDG0000023kJe2AI,Location;Buildings with Shutdown Units;Id;with;Cross Filter;Asset~~LocationId,,Subfilter,Shutdown,,SQC000126
Asset;Buildings with Shutdown Units;OperationalStatus__c;equals;Shutdown;Related List Filter;Shutdown,a2CDG0000023kJg2AI,Asset,,,,OperationalStatus__c,,0,a2EDG000001mjRZ2AY,Buildings with Shutdown Units;Location;Otis Layers,a2DDG000002nmbP2AQ,Asset;Buildings with Shutdown Units,equals,,,,Related List Filter,Shutdown,,SQC000127
WorkOrder;Buildings with Shutdown Units;Related List Filter,a2CDG0000023kJh2AI,WorkOrder,,,,,,0,a2EDG000001mjRZ2AY,Buildings with Shutdown Units;Location;Otis Layers,a2DDG000002nmbQ2AQ,WorkOrder;Buildings with Shutdown Units,,,,,Related List Filter,,,SQC000128
