Id,maps__SettingsGroup__c,maps__EntityId__c
"a2JDG000002inFN2AY","a2KDG000001VHcL2AW","$SF_SR_VAR_GLOBAL_ADMIN_PROFILE_ID"
"a2JDG000002inFp2AI","a2KDG000001VHcL2AW","$SF_SR_VAR_GLOBAL_FS_SV_PROFILE_ID"
