Id,Name,maps__SavedQuery__c,maps__Column1__c,maps__Column2__c,maps__Column3__c,maps__Column4__c,maps__Column5__c,maps__ListLabel__c,maps__NumToDisplay__c,maps__Order__c,maps__ReferenceField__c,maps__RelatedSort__c,$$Name$maps__SavedQuery__r.Name,maps__SavedQuery__r.$$Name$maps__BaseObject__r.Name$maps__Folder__r.Name
a2DDG000002nmaR2AQ,AssignedResource,a2EDG000001mjRF2AY,AssignedResourceNumber,,,,,Assigned Resource (ServiceResources),1,0,ServiceAppointmentId,CreatedDate ASC,AssignedResource;S2 Dispatched Service Appointments,S2 Dispatched Service Appointments;ServiceAppointment;Otis Layers
a2DDG000002nmaW2AQ,AssignedResource,a2EDG000001mjRK2AY,AssignedResourceNumber,,,,,Assigned Resource (ServiceResources),1,0,ServiceAppointmentId,CreatedDate ASC,AssignedResource;S3 Dispatched Service Appointments,S3 Dispatched Service Appointments;ServiceAppointment;Otis Layers
a2DDG000002nmag2AA,AssignedResource,a2EDG000001mjRP2AY,AssignedResourceNumber,,,,,Assigned Resource (ServiceResources),1,0,ServiceAppointmentId,CreatedDate ASC,AssignedResource;S4 Dispatched Service Appointments,S4 Dispatched Service Appointments;ServiceAppointment;Otis Layers
a2DDG000002nmaM2AQ,AssignedResource,a2EDG000001mjRA2AY,AssignedResourceNumber,,,,,Assigned Resource (ServiceResources),1,0,ServiceAppointmentId,CreatedDate ASC,AssignedResource;S1 Dispatched Service Appointments,S1 Dispatched Service Appointments;ServiceAppointment;Otis Layers
a2DDG000002nmZY2AY,Asset,a2EDG000001mjRZ2AY,Name,RouteName__c,OperationalStatus__c,OperationalStatusReason__c,,Unit (Assets),10,0,LocationId,CreatedDate ASC,Asset;Buildings with Shutdown Units,Buildings with Shutdown Units;Location;Otis Layers
a2DDG000002nmZZ2AY,WorkOrder,a2EDG000001mjRZ2AY,WorkOrderNumber,CreatedDate,,,,Work Order (WorkOrders),10,1,LocationId,CreatedDate ASC,WorkOrder;Buildings with Shutdown Units,Buildings with Shutdown Units;Location;Otis Layers
