FSL__Active__c,FSL__Boolean_Operator__c,FSL__Break_Duration__c,FSL__Break_Start__c,FSL__CountObject__c,FSL__CountTimeResolution__c,FSL__CountType__c,FSL__Crew_Max_Extra_Resources__c,FSL__Crew_Resources_Availability__c,FSL__CustomFieldName__c,FSL__DefaultLimit__c,FSL__Description__c,FSL__Enable_Overtime__c,FSL__Enhanced_Match_Linking_Object__c,FSL__Is_Fixed_Gap__c,FSL__isTimephased__c,FSL__Match_Constant_Boolean_Value__c,FSL__Match_Skill_Level__c,FSL__Matching_Skills_Operator__c,FSL__Maximum_Travel_From_Home__c,FSL__Maximum_Travel_From_Home_Type__c,FSL__Minimum_Gap__c,FSL__Object_Group_Field__c,FSL__Pass_Empty_Values__c,FSL__Resource_Group_Field__c,FSL__Resource_Property__c,FSL__Service_Appointment_Matching_Field__c,FSL__Service_Linking_Object_Reference_Field__c,FSL__Service_Property__c,FSL__Service_Schedule_Time_Property__c,FSL__Service_Time_Operator__c,FSL__Service_Time_Property__c,FSL__Skill_Type__c,FSL__Start_of_Day__c,FSL__Travel_From_Home__c,FSL__Travel_To_Home__c,FSL__Working_Location_Enable_Primary__c,FSL__WorkRule_End_DateTime_Field__c,FSL__WorkRule_Start_DateTime_Field__c,Id,Name,RecordType.$$DeveloperName$NamespacePrefix$SobjectType,RecordTypeId
true,=,,00:00,ServiceAppointment,Daily,Assignments,,false,,,,false,,false,false,true,true,,,Distance,,,false,,,,,ServiceTerritory,SchedStartTime,Before,EarliestStartTime,,00:00,,,false,,,a0nDO000000UE3xYAG,Excluded Resources,Excluded_Resources_Service;FSL;FSL__Work_Rule__c,012Dn000001nUGxIAM
true,=,,00:00,ServiceAppointment,Daily,Assignments,,false,,,,false,,false,false,true,true,,,Distance,,,false,,,,,ServiceTerritory,SchedStartTime,Before,EarliestStartTime,,00:00,,,false,,,a0nDO000000UE3yYAG,Secondary work rule,Field_Working_Locations;FSL;FSL__Work_Rule__c,012Dn000001nUGyIAM
true,=,,00:00,ServiceAppointment,Daily,Assignments,,false,,,,false,,false,false,true,true,,,Distance,,,false,,,,,ServiceTerritory,SchedStartTime,Before,EarliestStartTime,,00:00,,,false,,,a0nDO000000UE3zYAG,Working Territories,Field_Working_Locations;FSL;FSL__Work_Rule__c,012Dn000001nUGyIAM
true,=,60,12:00,ServiceAppointment,Daily,Assignments,,false,,,,false,,false,false,true,true,,,Distance,0,,false,,,,,ServiceTerritory,SchedStartTime,Before,EarliestStartTime,,00:00,0,0,false,,,a0nDO000000UE40YAG,Field Employee Availability,Gap_Rule_Service;FSL;FSL__Work_Rule__c,012Dn000001nUGzIAM
true,=,,00:00,ServiceAppointment,Daily,Assignments,,false,,,,false,,false,false,true,true,,,Distance,,,false,,IsActive,,,ServiceTerritory,SchedStartTime,Before,EarliestStartTime,,00:00,,,false,,,a0nDO000000UE42YAG,Active Resources,Match_Boolean_Service;FSL;FSL__Work_Rule__c,012Dn000001nUH0IAM
true,=,,00:00,ServiceAppointment,Daily,Assignments,,false,,,,false,,false,false,true,true,,,Distance,,,false,,,,,ServiceTerritory,SchedStartTime,Before,EarliestStartTime,,00:00,,,false,,,a0nDO000000UE43YAG,Service Crew Resources Availability,Match_Crew_Size_Service;FSL;FSL__Work_Rule__c,012Dn000001nUH1IAM
true,=,,00:00,ServiceAppointment,Daily,Assignments,,false,,,,false,,false,false,true,true,,,Distance,,,false,,,,,ServiceTerritory,SchedStartTime,Before,EarliestStartTime,,00:00,,,false,,,a0nDO000000UE44YAG,Match Territory,Match_Location_Service;FSL;FSL__Work_Rule__c,012Dn000001nUH3IAM
true,=,,00:00,ServiceAppointment,Daily,Assignments,,false,,,,false,,false,false,true,true,,,Distance,,,false,,,,,ServiceTerritory,SchedStartTime,Before,EarliestStartTime,,00:00,,,false,,,a0nDO000000UE45YAG,Match Skills,Match_Skills_Service;FSL;FSL__Work_Rule__c,012Dn000001nUH4IAM
true,=,,00:00,ServiceAppointment,Daily,Assignments,,false,,,,false,,false,false,true,true,,40,Distance,,,false,,,,,ServiceTerritory,SchedStartTime,Before,EarliestStartTime,,00:00,,,false,,,a0nDO000000UE46YAG,Maximum Travel From Home,Max_Travel_From_Home_To_Service;FSL;FSL__Work_Rule__c,012Dn000001nUH5IAM
true,=,,00:00,ServiceAppointment,Daily,Assignments,,false,,,,false,,false,false,true,true,,,Distance,,,false,,,,,ServiceTerritory,SchedStartTime,Before,EarliestStartTime,,00:00,,,false,,,a0nDO000000UE47YAG,Required Service Resource,Required_Resources_Service;FSL;FSL__Work_Rule__c,012Dn000001nUH6IAM
true,=,,00:00,ServiceAppointment,Daily,Assignments,,false,,,,false,,false,false,true,true,,,Distance,,,false,,,,,ServiceTerritory,SchedStartTime,Before,EarliestStartTime,,00:00,,,false,,,a0nDO000000UE48YAG,Service Appointment Visiting Hours,Service_Visiting_Hours;FSL;FSL__Work_Rule__c,012Dn000001nUH7IAM
true,=,,00:00,ServiceAppointment,Daily,Assignments,,false,,,,false,,false,false,true,true,,,Distance,,,true,,,,,ServiceTerritory,SchedStartTime,Later than or Equal to,ArrivalWindowStartTime,,00:00,,,false,,,a0nDO000000UE49YAG,Scheduled Start,Time_Rule_Service;FSL;FSL__Work_Rule__c,012Dn000001nUH9IAM
true,=,,00:00,ServiceAppointment,Daily,Assignments,,false,,,,false,,false,false,true,true,,,Distance,,,false,,,,,ServiceTerritory,SchedStartTime,Later than or Equal to,DueDate,,00:00,,,false,,,a0nDO000000UE4AYAW,Due Date custom,Time_Rule_Service;FSL;FSL__Work_Rule__c,012Dn000001nUH9IAM
true,=,,00:00,ServiceAppointment,Daily,Assignments,,false,,,,false,,false,false,true,true,,,Distance,,,true,,,,,ServiceTerritory,SchedStartTime,Before or Equal to,ArrivalWindowEndTime,,00:00,,,false,,,a0nDO000000UE4BYAW,Scheduled End,Time_Rule_Service;FSL;FSL__Work_Rule__c,012Dn000001nUH9IAM
true,=,60,12:00,ServiceAppointment,Daily,Assignments,,false,,,,false,,false,false,true,true,,,Distance,0,,false,,,,,ServiceTerritory,SchedStartTime,Before,EarliestStartTime,,00:00,0,0,false,,,a0nDO000000UE4CYAW,Resource Availability,Gap_Rule_Service;FSL;FSL__Work_Rule__c,012Dn000001nUGzIAM
true,=,,,ServiceAppointment,Daily,Assignments,,false,,,,false,,false,false,true,true,,,Distance,,,true,,,,,ServiceTerritory,SchedEndTime,Before or Equal to,DueDate,,00:00,,,false,,,a0nDO000000UE4DYAW,Due Date,Time_Rule_Service;FSL;FSL__Work_Rule__c,012Dn000001nUH9IAM
true,=,,,ServiceAppointment,Daily,Assignments,,false,,,,false,,false,false,true,true,,,Distance,,,true,,,,,ServiceTerritory,SchedStartTime,Later than or Equal to,EarliestStartTime,,00:00,,,false,,,a0nDO000000UE4EYAW,Earliest Start Permitted,Time_Rule_Service;FSL;FSL__Work_Rule__c,012Dn000001nUH9IAM
true,=,60,12:00,ServiceAppointment,Daily,Assignments,,false,,,,false,,false,false,true,true,,,Distance,0,,false,,,,,ServiceTerritory,SchedStartTime,Before,EarliestStartTime,,00:00,0,0,false,,,a0nDO000000XFNwYAO,Contractor Availability,Gap_Rule_Service;FSL;FSL__Work_Rule__c,012Dn000001nUGzIAM
true,=,,,ServiceAppointment,Daily,Assignments,,false,,,,false,,false,false,true,true,,,Distance,,,false,,IsActive,,,ServiceTerritory,SchedStartTime,Before,EarliestStartTime,,00:00,,,false,,,a0nDD0000069zc7YAA,TimeSlot Designated Work for Shifts,TimeSlot_Designated_Work;FSL;FSL__Work_Rule__c,012Dn000001nUH8IAM
