$$Name$Type__c$WorkType__r.Name,Description__c,Id,Name,Type__c,WorkType__c,WorkType__r.$$Name$DurationType$DurationInMinutes
Visual Check;Major;Maintenance -VC,Visual Check,a2bDO000000KyxtYAC,Visual Check,Major,08qDO000000L0JtYAK,Maintenance -VC;Minutes;60
Operation Check;Major;Maintenance -VC,Operation Check,a2bDO000000KyxuYAC,Operation Check,Major,08qDO000000L0JtYAK,Maintenance -VC;Minutes;60
Audible Check;Minor;Maintenance -NTC,Audible Check,a2bDO000000KyxvYAC,Audible Check,Minor,08qDO000000L0JuYAK,Maintenance -NTC;Minutes;60
General Verification;Minor;Maintenance -NTC,General Verification,a2bDO000000KyxwYAC,General Verification,Minor,08qDO000000L0JuYAK,Maintenance -NTC;Minutes;60
Cleaning;Major;Maintenance -NTC,Cleaning,a2bDO000000KyxxYAC,Cleaning,Major,08qDO000000L0JuYAK,Maintenance -NTC;Minutes;60
Lubrication of step pins;Minor;Maintenance -NTC,Lubrication of step pins,a2bDO000000KyxyYAC,Lubrication of step pins,Minor,08qDO000000L0JuYAK,Maintenance -NTC;Minutes;60
Lubrication of the step chain;Major;Maintenance -NTC,Lubrication of the step chain,a2bDO000000KyxzYAC,Lubrication of the step chain,Major,08qDO000000L0JuYAK,Maintenance -NTC;Minutes;60
Pallet lubrication;Minor;Maintenance -NTC,Pallet lubrication,a2bDO000000Kyy0YAC,Pallet lubrication,Minor,08qDO000000L0JuYAK,Maintenance -NTC;Minutes;60
Guide system lubrication;Major;Maintenance -NTC,Guide system lubrication,a2bDO000000Kyy1YAC,Guide system lubrication,Major,08qDO000000L0JuYAK,Maintenance -NTC;Minutes;60
Lubrication of the braking system;Minor;Maintenance -NTC,Lubrication of the braking system,a2bDO000000Kyy2YAC,Lubrication of the braking system,Minor,08qDO000000L0JuYAK,Maintenance -NTC;Minutes;60
General lubrication and cleaning;Major;Maintenance -NTC,General lubrication and cleaning,a2bDO000000Kyy3YAC,General lubrication and cleaning,Major,08qDO000000L0JuYAK,Maintenance -NTC;Minutes;60
Visual Check;Major;Maintenance -NTC,Visual Check,a2bDO000000Kyy4YAC,Visual Check,Major,08qDO000000L0JuYAK,Maintenance -NTC;Minutes;60
Operation Check;Major;Maintenance -NTC,Operation Check,a2bDO000000Kyy5YAC,Operation Check,Major,08qDO000000L0JuYAK,Maintenance -NTC;Minutes;60
Audible Check;Minor;Maintenance -VP,Audible Check,a2bDO000000Kyy6YAC,Audible Check,Minor,08qDO000000L0JvYAK,Maintenance -VP;Minutes;60
General Verification;Minor;Maintenance -VP,General Verification,a2bDO000000Kyy7YAC,General Verification,Minor,08qDO000000L0JvYAK,Maintenance -VP;Minutes;60
Cleaning;Major;Maintenance -VP,Cleaning,a2bDO000000Kyy8YAC,Cleaning,Major,08qDO000000L0JvYAK,Maintenance -VP;Minutes;60
Lubrication of step pins;Minor;Maintenance -VP,Lubrication of step pins,a2bDO000000Kyy9YAC,Lubrication of step pins,Minor,08qDO000000L0JvYAK,Maintenance -VP;Minutes;60
Lubrication of the step chain;Major;Maintenance -VP,Lubrication of the step chain,a2bDO000000KyyAYAS,Lubrication of the step chain,Major,08qDO000000L0JvYAK,Maintenance -VP;Minutes;60
Pallet lubrication;Minor;Maintenance -VP,Pallet lubrication,a2bDO000000KyyBYAS,Pallet lubrication,Minor,08qDO000000L0JvYAK,Maintenance -VP;Minutes;60
Guide system lubrication;Major;Maintenance -VP,Guide system lubrication,a2bDO000000KyyCYAS,Guide system lubrication,Major,08qDO000000L0JvYAK,Maintenance -VP;Minutes;60
Lubrication of the braking system;Minor;Maintenance -NM,Lubrication of the braking system,a2bDO000000KyyOYAS,Lubrication of the braking system,Minor,08qDO000000L0JwYAK,Maintenance -NM;Minutes;60
General lubrication and cleaning;Major;Maintenance -NM,General lubrication and cleaning,a2bDO000000KyyPYAS,General lubrication and cleaning,Major,08qDO000000L0JwYAK,Maintenance -NM;Minutes;60
Visual Check;Major;Maintenance -NM,Visual Check,a2bDO000000KyyQYAS,Visual Check,Major,08qDO000000L0JwYAK,Maintenance -NM;Minutes;60
Operation Check;Major;Maintenance -NM,Operation Check,a2bDO000000KyyRYAS,Operation Check,Major,08qDO000000L0JwYAK,Maintenance -NM;Minutes;60
Lubrication of the braking system;Minor;Maintenance -VP,Lubrication of the braking system,a2bDO000000KyyDYAS,Lubrication of the braking system,Minor,08qDO000000L0JvYAK,Maintenance -VP;Minutes;60
General lubrication and cleaning;Major;Maintenance -VP,General lubrication and cleaning,a2bDO000000KyyEYAS,General lubrication and cleaning,Major,08qDO000000L0JvYAK,Maintenance -VP;Minutes;60
Visual Check;Major;Maintenance -VP,Visual Check,a2bDO000000KyyFYAS,Visual Check,Major,08qDO000000L0JvYAK,Maintenance -VP;Minutes;60
Operation Check;Major;Maintenance -VP,Operation Check,a2bDO000000KyyGYAS,Operation Check,Major,08qDO000000L0JvYAK,Maintenance -VP;Minutes;60
Audible Check;Minor;Maintenance -NM,Audible Check,a2bDO000000KyyHYAS,Audible Check,Minor,08qDO000000L0JwYAK,Maintenance -NM;Minutes;60
General Verification;Minor;Maintenance -NM,General Verification,a2bDO000000KyyIYAS,General Verification,Minor,08qDO000000L0JwYAK,Maintenance -NM;Minutes;60
Cleaning;Major;Maintenance -NM,Cleaning,a2bDO000000KyyJYAS,Cleaning,Major,08qDO000000L0JwYAK,Maintenance -NM;Minutes;60
Lubrication of step pins;Minor;Maintenance -NM,Lubrication of step pins,a2bDO000000KyyKYAS,Lubrication of step pins,Minor,08qDO000000L0JwYAK,Maintenance -NM;Minutes;60
Lubrication of the step chain;Major;Maintenance -NM,Lubrication of the step chain,a2bDO000000KyyLYAS,Lubrication of the step chain,Major,08qDO000000L0JwYAK,Maintenance -NM;Minutes;60
Pallet lubrication;Minor;Maintenance -NM,Pallet lubrication,a2bDO000000KyyMYAS,Pallet lubrication,Minor,08qDO000000L0JwYAK,Maintenance -NM;Minutes;60
Guide system lubrication;Major;Maintenance -NM,Guide system lubrication,a2bDO000000KyyNYAS,Guide system lubrication,Major,08qDO000000L0JwYAK,Maintenance -NM;Minutes;60
