Id,Name,ComponentCode__c,Status__c,Category__c,ComponentDescription__c
a2I8H000000krSLUAY,W24,W24,Active,,COUNTERWEIGHT GOVERNOR - SWITCHES
a2I8H000000krSMUAY,T87,T87,Active,,ESCALATOR - BRAKE
a2I8H000000krSNUAY,T88,T88,Active,Escalator,ESCALATOR - LOADED GAP TEST
a2I8H000000krSOUAY,T89,T89,Active,Escalator,ESCALATOR - SKIRT BRUSHES
a2I8H000000krSPUAY,T90,T90,Active,Escalator,ESCALATOR-CLEAN DOWN ESCALATOR/REPORT OF CONDITION
a2I8H000000krSQUAY,S14,S14,Active,,MAIN MACHINE - GEAR CASE
a2I8H000000krSRUAY,594,594,Active,,CONTROL ROOM WAYSIDE VEHICLE COMMUNICATION
a2I8H000000krSSUAY,591,591,Active,,CONTROL ROOM SHEAVE CONTROL CAB-OPERATOR
a2I8H000000krSTUAY,592,592,Active,,CONTROL ROOM CONSOLE
a2I8H000000krSUUAY,593,593,Active,,CONTROL ROOM COMMUNICATION CABINETS
a2I8H000000krSVUAY,595,595,Active,,CONTROL ROOM PA
a2I8H000000krSWUAY,596,596,Active,,CONTROL ROOM CCTV
a2I8H000000krSXUAY,597,597,Active,,CONTROL ROOM DIAGNOSTIC COMMUNICATION
a2I8H000000krSYUAY,598,598,Active,,CONTROL ROOM SUPERVISOR PC
a2I8H000000krSZUAY,605,605,Active,,ELECTRICAL ROOM UPS
a2I8H000000krSaUAI,606,606,Active,,ELECTRICAL ROOM CONVERTER
a2I8H000000krSbUAI,607,607,Active,,ELECTRICAL ROOM MAIN CB PANEL
a2I8H000000krScUAI,608,608,Active,,ELECTRICAL ROOM DRIVE TRANSFORMER
a2I8H000000krSdUAI,T69,T69,Active,,ESCALATOR - RECTIFIERS
a2I8H000000krSeUAI,T70,T70,Active,,ESCALATOR - RELAYS/SWITCHES
a2I8H000000krSfUAI,T71,T71,Active,,ESCALATOR - RESISTOR
a2I8H000000krSgUAI,T72,T72,Active,,ESCALATOR - TRANSFORMERS
a2I8H000000krShUAI,T73,T73,Active,,ESCALATOR - TRAVELING CABLE
a2I8H000000krSiUAI,T74,T74,Active,,ESCALATOR - WIRING
a2I8H000000krSjUAI,T75,T75,Active,Escalator,ESCALATOR - HANDRAIL DRIVE/CHAIN/BELT-LEFT
a2I8H000000krSkUAI,T76,T76,Active,Escalator,ESCALATOR - HANDRAIL DRIVE/CHAIN/BELT-RIGHT
a2I8H000000krSlUAI,T77,T77,Active,Escalator,ESCALATOR - HANDRAIL GUIDES - LEFT
a2I8H000000krT0UAI,E33,E33,Active,,CAR - SWITCHES
a2I8H000000krT1UAI,E34,E34,Active,Car Equipment,LOAD WEIGHING TRANSDUCER
a2I8H000000krT2UAI,E40,E40,Active,,CAR - CDI
a2I8H000000krT3UAI,E41,E41,Active,,CAR - CEILING
a2I8H000000krT4UAI,E42,E42,Active,,CAR - CPI
a2I8H000000krTCUAY,149,149,Active,,FWD SLAVE VEHICLE RIGHT #2 DOOR NOT LOCKED WEST LA
a2I8H000000krTDUAY,150,150,Active,,FWD SLAVE VEHICLE RIGHT #3 DOOR NOT LOCKED WEST LA
a2I8H000000krTEUAY,151,151,Active,,FWD SLAVE VEHICLE AFT E-STOP PUSHBUTTON ACTIVATED
a2I8H000000krTFUAY,152,152,Active,,FWD SLAVE VEHICLE FWD E-STOP PUSHBUTTON ACTIVATED
a2I8H000000krTGUAY,S18,S18,Active,Main Machine / Brake,MAIN MACHINE - MOTOR
a2I8H000000krTHUAY,S15,S15,Active,,MAIN MACHINE - HOSE
a2I8H000000krTIUAY,S16,S16,Active,,MAIN MACHINE - LOAD WEIGHING TRANSDUCER
a2I8H000000krTJUAY,S17,S17,Active,,MAIN MACHINE - MAIN BEARING
a2I8H000000krTKUAY,S19,S19,Active,Main Machine / Brake,MAIN MACHINE - PUMP
a2I8H000000krTLUAY,M15,M15,Active,,GENERATOR - GROUND FAULT
a2I8H000000krTMUAY,P03,P03,Active,Hydraulic Machine,HYDRAULIC MACHINE - BELT
a2I8H000000krTNUAY,P04,P04,Active,Hydraulic Machine,HYDRAULIC MACHINE - VALVE
a2I8H000000krTOUAY,P05,P05,Active,Hydraulic Machine,HYDRAULIC MACHINE - HOSE
a2I8H000000krTPUAY,P02,P02,Active,,HYDRAULIC MACHINE - PUMP
a2I8H000000krTQUAY,S13,S13,Active,Main Machine / Brake,MAIN MACHINE - FIELDS
a2I8H000000krTRUAY,P06,P06,Active,,HYDRAULIC MACHINE - ADDED OIL
a2I8H000000krTSUAY,S20,S20,Active,,MAIN MACHINE - ROTOR
a2I8H000000krTTUAY,S44,S44,Active,,MAIN MACHINE - CABLE LINER
a2I8H000000krTUUAY,S45,S45,Active,Main Machine / Brake,MAIN MACHINE - COMMUTATOR
a2I8H000000krTVUAY,S46,S46,Active,,MAIN MACHINE - COUPLING
a2I8H000000krTWUAY,P07,P07,Active,Hydraulic Machine,HYDRAULIC MACHINE - REM OIL SENSOR
a2I8H000000krTXUAY,P08,P08,Active,Hydraulic Machine,HYDRAULIC MACHINE - PIPING / FITTINGS
a2I8H000000krTYUAY,P09,P09,Active,Hydraulic Machine,HYDRAULIC MACHINE - OIL / TANK / HEATER
a2I8H000000krTZUAY,P99,P99,Active,,HYDRAULIC MACHINE - OTHER
a2I8H000000krTaUAI,S21,S21,Active,Main Machine / Brake,MAIN MACHINE - SEAL
a2I8H000000krTbUAI,S22,S22,Active,,MAIN MACHINE - STATOR
a2I8H000000krTcUAI,E64,E64,Active,Car Equipment,CAR - INDUCTORS
a2I8H000000krTdUAI,E65,E65,Active,,CAR - ISOLATION
a2I8H000000krTeUAI,R01,R01,Active,Gear Case,GEAR CASE - SEALS
a2I8H000000krTfUAI,R02,R02,Active,,GEAR CASE - MAIN BEARING
a2I8H000000krTgUAI,R03,R03,Active,,GEAR CASE - THRUST BEARING
a2I8H000000krThUAI,S23,S23,Active,,MAIN MACHINE - THRUST BEARING
a2I8H000000krTiUAI,S24,S24,Active,,MAIN MACHINE - VALVE
a2I8H000000krTjUAI,S25,S25,Active,Main Machine / Brake,MAIN MACHINE - BRAKE SWITCH
a2I8H000000krTkUAI,S26,S26,Active,,MAIN MACHINE - FAN / BLOWER
a2I8H000000krTlUAI,E66,E66,Active,Car Equipment,CAR - LIGHT
a2I8H000000krTmUAI,E67,E67,Active,,CAR - LOAD WEIGHING
a2I8H000000krTnUAI,E68,E68,Active,,CAR - PC BOARD
a2I8H000000krTqUAI,E71,E71,Active,Car Equipment,CAR - SHEAVE
a2I8H000000krTrUAI,E73,E73,Active,,CAR - TERMINAL MOTION SWITCH
a2I8H000000krTsUAI,E74,E74,Active,Car Equipment,CAR - CAR FRAME / SAFETIES
a2I8H000000krTtUAI,E99,E99,Active,,CAR - OTHER
a2I8H000000krTuUAI,F01,F01,Active,Hoistway Doors,HOISTWAY DOORS - INTERLOCK/ELECTRICAL
a2I8H000000krTvUAI,F02,F02,Active,Hoistway Doors,HOISTWAY DOORS - DOOR LOCK/BELL CRANK/MECHANICAL
a2I8H000000krTwUAI,F03,F03,Active,Hoistway Doors,HOISTWAY DOORS - CHECK
a2I8H000000krTxUAI,F04,F04,Active,Hoistway Doors,HOISTWAY DOORS - CLOSER/WEIGHTED
a2I8H000000krTyUAI,F05,F05,Active,Hoistway Doors,HOISTWAY DOORS - HANGER
