Category__c,Department__c,Description__c,Id,Name
Misc,Service,CANADA-BEREAVEMENT LEAVE PAY,a2hDD000003OBopYAG,99125
,NE,COVID VACCINTN - NE,a2hDD000003OBoqYAG,99128
Misc,Service,COVID VACCINTN - SER,a2hDD000003OBorYAG,99129
,NE,HAZARDOUS WASTE-NE,a2hDD000003OBosYAG,99130
Safety,Service,HAZARDOUS WASTE-SERVICE,a2hDD000003OBotYAG,99131
,NE,COVID PAID LEAVE-NE,a2hDD000003OBouYAG,99132
Misc,Service,COVID PAID LEAVE-SER,a2hDD000003OBovYAG,99133
Misc,Service,ALLIANCE MEDICAL-DAY,a2hDD000003OBowYAG,99135
Misc,Service,BLOOMINGTON,a2hDD000003OBoxYAG,99136
Misc,Service,TPR/LOCAL-3 SICK PAY,a2hDD000003OBoyYAG,99137
Misc,Service,PUERTO RICO-ACCIDENT PAY,a2hDD000003OBozYAG,99138
Misc,Service,TPR/LOCAL-3 BEREAVEMENT,a2hDD000003OBp0YAG,99139
Misc,Service,PUERTO RICO-CHRISTMAS BONUS,a2hDD000003OBp1YAG,99140
,NE,RESTRICTED DUTY - NE,a2hDD000003OBp2YAG,99143
Misc,Service,RESTRICTED DUTY - SERVICE,a2hDD000003OBp3YAG,99144
Vacation,Service,VAC/PTO -HOURS TAKEN,a2hDD000003OBp4YAG,99145
,NE,COMMON DECENCY NE,a2hDD000003OBp5YAG,99150
Misc,Service,COMMON DECENCY SER,a2hDD000003OBp6YAG,99151
,NE,GOVT REQ HARASS TRNG NE,a2hDD000003OBp7YAG,99152
Misc,Service,GOVT REQ HARASS TRNG SER,a2hDD000003OBp8YAG,99153
Quality,Service,OTIS ONE FIELD TRIAL-PILOT,a2hDD000003OBp9YAG,99160
Quality,Service,OM REM COST,a2hDD000003OBpAYAW,99166
Safety,Service,SAFETY UPGRADES MAINTENANCE,a2hDD000003OBpBYAW,99167
Quality,Service,CANADA ADJUSTING PILOT,a2hDD000003OBpCYAW,99168
Safety,Service,SAFETY INITIATIVES,a2hDD000003OBpDYAW,99174
Safety,Service,MACHINE GUARD INITIATIVES,a2hDD000003OBpEYAW,99175
Misc,Service,INTERCO. TUCSON-NOGALES,a2hDD000003OBpFYAW,99176
Misc,Service,AMERICAN CRUISE LINE,a2hDD000003OBpGYAW,99177
Misc,Service,GNY TRAVEL TO HOME     COST,a2hDD000003OBpHYAW,99178
,NE,JURY DUTY EXP-NE   COST,a2hDD000003OBpIYAW,99186
Misc,Service,JURY DUTY EXP-SERV COST,a2hDD000003OBpJYAW,99187
Misc,Service,BUSINESS PRACTIVES-SERVICE,a2hDD000003OBpKYAW,99188
,NE,BUSINESS PRACTICES-NE,a2hDD000003OBpLYAW,99189
Misc,Service,BLM-INTERCO-CONST/FIELD SUPPORT,a2hDD000003OBpMYAW,99190
Misc,Service,ALLIANCE-PERSONAL DAY,a2hDD000003OBpNYAW,99191
Safety,Service,HV GUARDING,a2hDD000003OBpOYAW,99192
Misc,Service,MMR GRIEVANCE PAYMENT,a2hDD000003OBpPYAW,99193
Safety,Service,MANDATORY EH&S RETROFIT,a2hDD000003OBpQYAW,99195
,NE,GEN3CORE AUTMD TEST VALIDTN-NE,a2hDD000003OBpRYAW,99196
,NE,WK00 SZ/EHS VISION&VALUES-NE,a2hDD000003OBpSYAW,99200
,NE,WK05 SZ/EMP RESP/CARD RULE-NE,a2hDD000003OBpTYAW,99201
